what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609235024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609243896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609245231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609252167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609260049
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337609260267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337609260364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337609264624
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337609270559
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337609270561
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337609275910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609281192
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337609283289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609283345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337609283352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609288962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609309636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609315657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609316654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337609316664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609321024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337609332897
